Month,flight
2004-01,39
2004-02,46
2004-03,53
2004-04,40
2004-05,61
2004-06,39
2004-07,45
2004-08,59
2004-09,58
2004-10,49
2004-11,46
2004-12,45
2005-01,64
2005-02,41
2005-03,48
2005-04,47
2005-05,48
2005-06,62
2005-07,50
2005-08,57
2005-09,62
2005-10,45
2005-11,45
2005-12,40
2006-01,51
2006-02,61
2006-03,57
2006-04,48
2006-05,55
2006-06,45
2006-07,66
2006-08,57
2006-09,68
2006-10,65
2006-11,50
2006-12,57
2007-01,71
2007-02,52
2007-03,50
2007-04,55
2007-05,59
2007-06,57
2007-07,62
2007-08,67
2007-09,51
2007-10,55
2007-11,52
2007-12,44
2008-01,66
2008-02,53
2008-03,50
2008-04,52
2008-05,54
2008-06,48
2008-07,57
2008-08,57
2008-09,53
2008-10,48
2008-11,53
2008-12,57
2009-01,82
2009-02,67
2009-03,60
2009-04,65
2009-05,61
2009-06,60
2009-07,66
2009-08,68
2009-09,64
2009-10,57
2009-11,60
2009-12,54
2010-01,81
2010-02,67
2010-03,62
2010-04,68
2010-05,77
2010-06,61
2010-07,68
2010-08,65
2010-09,59
2010-10,60
2010-11,54
2010-12,48
2011-01,73
2011-02,59
2011-03,57
2011-04,52
2011-05,55
2011-06,59
2011-07,70
2011-08,57
2011-09,59
2011-10,54
2011-11,54
2011-12,50
2012-01,69
2012-02,58
2012-03,50
2012-04,64
2012-05,59
2012-06,56
2012-07,61
2012-08,62
2012-09,63
2012-10,63
2012-11,55
2012-12,52
2013-01,72
2013-02,59
2013-03,57
2013-04,54
2013-05,52
2013-06,59
2013-07,61
2013-08,59
2013-09,58
2013-10,60
2013-11,60
2013-12,51
2014-01,73
2014-02,66
2014-03,50
2014-04,53
2014-05,54
2014-06,52
2014-07,53
2014-08,57
2014-09,51
2014-10,52
2014-11,50
2014-12,51
2015-01,73
2015-02,54
2015-03,57
2015-04,58
2015-05,56
2015-06,56
2015-07,61
2015-08,60
2015-09,58
2015-10,60
2015-11,58
2015-12,57
2016-01,77
2016-02,62
2016-03,59
2016-04,57
2016-05,61
2016-06,60
2016-07,61
2016-08,61
2016-09,61
2016-10,66
2016-11,59
2016-12,58
2017-01,88
2017-02,73
2017-03,70
2017-04,68
2017-05,66
2017-06,66
2017-07,74
2017-08,68
2017-09,69
2017-10,72
2017-11,74
2017-12,68
2018-01,92
2018-02,74
2018-03,77
2018-04,68
2018-05,63
2018-06,65
2018-07,73
2018-08,74
2018-09,70
2018-10,65
2018-11,67
2018-12,66
2019-01,88
2019-02,81
2019-03,72
2019-04,71
2019-05,67
2019-06,71
2019-07,75
2019-08,76
2019-09,79
2019-10,79
2019-11,80
2019-12,82
2020-01,100
2020-02,75
2020-03,57
2020-04,26
2020-05,30
2020-06,30
2020-07,29
2020-08,20
2020-09,20
2020-10,19
2020-11,17
2020-12,18
2021-01,19
2021-02,16
2021-03,17
2021-04,16
2021-05,18
2021-06,17
2021-07,16
2021-08,16
2021-09,16
2021-10,20
2021-11,23
2021-12,22
2022-01,31
2022-02,37
2022-03,43
2022-04,52
2022-05,54
2022-06,57
2022-07,64
2022-08,65
2022-09,59
2022-10,68
2022-11,65
2022-12,67
2023-01,80
2023-02,74
2023-03,64
2023-04,79
2023-05,73
2023-06,75
2023-07,75
2023-08,70
2023-09,72
2023-10,81
2023-11,74
2023-12,85
2024-01,90
2024-02,84
2024-03,84
2024-04,76
2024-05,83
2024-06,93
2024-07,83
2024-08,89
