Month,hotels
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,60
2005-09,0
2005-10,0
2005-11,62
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,43
2006-11,32
2006-12,34
2007-01,44
2007-02,44
2007-03,33
2007-04,0
2007-05,47
2007-06,34
2007-07,46
2007-08,71
2007-09,45
2007-10,48
2007-11,35
2007-12,47
2008-01,56
2008-02,42
2008-03,44
2008-04,41
2008-05,31
2008-06,44
2008-07,45
2008-08,53
2008-09,42
2008-10,37
2008-11,35
2008-12,44
2009-01,61
2009-02,50
2009-03,42
2009-04,44
2009-05,31
2009-06,37
2009-07,37
2009-08,58
2009-09,57
2009-10,36
2009-11,45
2009-12,40
2010-01,54
2010-02,32
2010-03,45
2010-04,53
2010-05,47
2010-06,46
2010-07,50
2010-08,60
2010-09,47
2010-10,38
2010-11,43
2010-12,44
2011-01,63
2011-02,48
2011-03,34
2011-04,45
2011-05,49
2011-06,49
2011-07,48
2011-08,60
2011-09,54
2011-10,48
2011-11,49
2011-12,50
2012-01,63
2012-02,46
2012-03,43
2012-04,41
2012-05,39
2012-06,40
2012-07,42
2012-08,57
2012-09,46
2012-10,47
2012-11,43
2012-12,44
2013-01,68
2013-02,52
2013-03,48
2013-04,50
2013-05,42
2013-06,42
2013-07,55
2013-08,52
2013-09,46
2013-10,56
2013-11,50
2013-12,49
2014-01,64
2014-02,63
2014-03,51
2014-04,48
2014-05,53
2014-06,52
2014-07,51
2014-08,55
2014-09,53
2014-10,47
2014-11,42
2014-12,49
2015-01,64
2015-02,56
2015-03,60
2015-04,62
2015-05,55
2015-06,55
2015-07,65
2015-08,61
2015-09,66
2015-10,59
2015-11,59
2015-12,64
2016-01,79
2016-02,62
2016-03,61
2016-04,60
2016-05,57
2016-06,57
2016-07,59
2016-08,61
2016-09,59
2016-10,60
2016-11,65
2016-12,57
2017-01,72
2017-02,71
2017-03,67
2017-04,72
2017-05,69
2017-06,71
2017-07,81
2017-08,77
2017-09,74
2017-10,79
2017-11,72
2017-12,70
2018-01,99
2018-02,79
2018-03,75
2018-04,70
2018-05,66
2018-06,70
2018-07,64
2018-08,73
2018-09,67
2018-10,64
2018-11,58
2018-12,66
2019-01,78
2019-02,66
2019-03,70
2019-04,68
2019-05,65
2019-06,67
2019-07,63
2019-08,69
2019-09,74
2019-10,76
2019-11,72
2019-12,71
2020-01,94
2020-02,51
2020-03,28
2020-04,21
2020-05,25
2020-06,27
2020-07,26
2020-08,21
2020-09,22
2020-10,21
2020-11,22
2020-12,23
2021-01,30
2021-02,22
2021-03,19
2021-04,19
2021-05,19
2021-06,19
2021-07,21
2021-08,22
2021-09,18
2021-10,21
2021-11,27
2021-12,15
2022-01,31
2022-02,41
2022-03,45
2022-04,54
2022-05,64
2022-06,73
2022-07,78
2022-08,77
2022-09,71
2022-10,70
2022-11,77
2022-12,73
2023-01,88
2023-02,78
2023-03,78
2023-04,82
2023-05,78
2023-06,78
2023-07,77
2023-08,62
2023-09,78
2023-10,63
2023-11,73
2023-12,77
2024-01,100
2024-02,87
2024-03,80
2024-04,89
2024-05,88
2024-06,89
2024-07,89
2024-08,86
