Month,Transport Services
2008-01,58.3
2008-02,59.2
2008-03,60.6
2008-04,60.2
2008-05,61.7
2008-06,62.9
2008-07,67.4
2008-08,71
2008-09,65.3
2008-10,63.7
2008-11,62.5
2008-12,69.6
2009-01,65.8
2009-02,66
2009-03,66
2009-04,66
2009-05,67.3
2009-06,67.9
2009-07,71
2009-08,73.8
2009-09,66.5
2009-10,66.5
2009-11,66.1
2009-12,73.4
2010-01,68.5
2010-02,69.5
2010-03,70.9
2010-04,70.9
2010-05,72.3
2010-06,74.7
2010-07,78
2010-08,83.7
2010-09,73.3
2010-10,73.3
2010-11,71.6
2010-12,81.3
2011-01,75.8
2011-02,76.6
2011-03,77.5
2011-04,85.5
2011-05,81.3
2011-06,83.9
2011-07,87.5
2011-08,90.9
2011-09,82.6
2011-10,80.7
2011-11,79.2
2011-12,88.2
2012-01,82.8
2012-02,83.3
2012-03,83.8
2012-04,86.2
2012-05,86.4
2012-06,88.6
2012-07,94.7
2012-08,98.4
2012-09,88.5
2012-10,87.2
2012-11,85.2
2012-12,90.8
2013-01,87.6
2013-02,89.6
2013-03,90.7
2013-04,89.8
2013-05,94.2
2013-06,93.8
2013-07,98
2013-08,100.8
2013-09,94.2
2013-10,91.1
2013-11,89.6
2013-12,93.8
2014-01,90.3
2014-02,91.8
2014-03,91.7
2014-04,99
2014-05,95.9
2014-06,98.3
2014-07,102.8
2014-08,107.5
2014-09,98
2014-10,95.6
2014-11,92.9
2014-12,96.4
2015-01,93.5
2015-02,95.9
2015-03,95.9
2015-04,98.2
2015-05,99.1
2015-06,99.5
2015-07,106
2015-08,110.2
2015-09,102
2015-10,98.3
2015-11,95.7
2015-12,105.7
2016-01,96.5
2016-02,98
2016-03,103.3
2016-04,100.2
2016-05,101
2016-06,103.6
2016-07,110
2016-08,115.6
2016-09,104.6
2016-10,102.3
2016-11,98.5
2016-12,110.9
2017-01,103.1
2017-02,106.4
2017-03,104.5
2017-04,110.9
2017-05,108.2
2017-06,110.2
2017-07,115.6
2017-08,118.9
2017-09,109.7
2017-10,108
2017-11,105.8
2017-12,115.6
2018-01,108.4
2018-02,110.5
2018-03,108.5
2018-04,110.3
2018-05,112.6
2018-06,114
2018-07,121.1
2018-08,126.6
2018-09,114.3
2018-10,111.3
2018-11,109.9
2018-12,117.4
2019-01,112.7
2019-02,114.8
2019-03,112.4
2019-04,121.8
2019-05,117
2019-06,120
2019-07,123.1
2019-08,129.8
2019-09,116.8
2019-10,115.6
2019-11,113.5
2019-12,117.3
2020-01,113.3
2020-02,116.8
2020-03,116.1
2020-04,122.7
2020-05,119.2
2020-06,122
2020-07,126.1
2020-08,128.8
2020-09,121.4
2020-10,119.7
2020-11,117.4
2020-12,125.8
2021-01,120.9
2021-02,123.2
2021-03,123.9
2021-04,128.8
2021-05,125.7
2021-06,127.9
2021-07,129.6
2021-08,131.6
2021-09,125.9
2021-10,126.5
2021-11,126.2
2021-12,133.2
2022-01,125.3
2022-02,128.1
2022-03,129.7
2022-04,135.1
2022-05,133.5
2022-06,136.4
2022-07,143.1
2022-08,147.4
2022-09,138.8
2022-10,139.1
2022-11,136.5
2022-12,152.2
2023-01,132.1
2023-02,135.7
2023-03,139.6
2023-04,141.3
2023-05,145.9
2023-06,148.2
2023-07,158.5
2023-08,157.9
2023-09,147.8
2023-10,146.6
2023-11,140.9
2023-12,156.8
2024-01,135.9
2024-02,139.3
2024-03,140.1
2024-04,143.7
2024-05,149.6
2024-06,151.4
2024-07,158.3
2024-08,169.2
2024-09,147.5
2024-10,150.1
2024-11,142
2024-12,148
2025-01,141.7
2025-02,145.3
2025-03,145.6
2025-04,158.1
2025-05,153.2
2025-06,157.6
2025-07,171.2
2025-08,174.3
2025-09,155.9
2025-10,155.1
2025-11,148.5
2025-12,156
2026-01,145.5
2026-02,150.3
2026-03,153.1
2026-04,154.3
2026-05,157.6
2026-06,161.4
