Month,Passengers
2008-01,399556
2008-02,810588
2008-03,1224920
2008-04,1620820
2008-05,1987207
2008-06,2340152
2008-07,2670152
2008-08,3009152
2008-09,3295541
2008-10,3592283
2008-11,3872187
2008-12,4230235
2009-01,370000
2009-02,712913
2009-03,1016402
2009-04,1321832
2009-05,1614675
2009-06,1893822
2009-07,2165244
2009-08,2480159
2009-09,2784578
2009-10,3012437
2009-11,3400308
2009-12,3776708
2010-01,416249
2010-02,862572
2010-03,1336081
2010-04,1768689
2010-05,2119671
2010-06,2495378
2010-07,2905378
2010-08,3333313
2010-09,3716776
2010-10,4156847
2010-11,4585142
2010-12,5034712
2011-01,506424
2011-02,1035739
2011-03,1511472
2011-04,1971472
2011-05,2452358
2011-06,2899324
2011-07,3359324
2011-08,3911558
2011-09,4198176
2011-10,4716653
2011-11,5328517
2011-12,5921925
2012-01,630000
2012-02,1311849
2012-03,1873726
2012-04,2493726
2012-05,3109249
2012-06,3526678
2012-07,3992678
2012-08,4517970
2012-09,4978208
2012-10,5473784
2012-11,6129485
2012-12,6744158
2013-01,651812
2013-02,1222288
2013-03,1809654
2013-04,2423573
2013-05,2982324
2013-06,3549615
2013-07,4207940
2013-08,4884659
2013-09,5499486
2013-10,6128181
2013-11,6859215
2013-12,7581564
2014-01,776174
2014-02,1618200
2014-03,2327925
2014-04,3073905
2014-05,3748109
2014-06,4287885
2014-07,4852621
2014-08,5471209
2014-09,6062090
2014-10,6621092
2014-11,7229709
2014-12,7887013
2015-01,700692
2015-02,1456692
2015-03,2074587
2015-04,2765027
2015-05,3341895
2015-06,3871340
2015-07,4464906
2015-08,5129891
2015-09,5756215
2015-10,6405314
2015-11,7138054
2015-12,7898852
2016-01,815200
2016-02,1658926
2016-03,2489534
2016-04,3289146
2016-05,4056519
2016-06,4767093
2016-07,5623531
2016-08,6533397
2016-09,7356532
2016-10,8178677
2016-11,9115456
2016-12,10012735
2017-01,1007238
2017-02,2206659
2017-03,3212480
2017-04,4284130
2017-05,5256974
2017-06,6206336
2017-07,7243216
2017-08,8472379
2017-09,9448331
2017-10,10473230
2017-11,11645798
2017-12,12922151
2018-01,1430242
2018-02,2862087
2018-03,4205401
2018-04,5547314
2018-05,6708428
2018-06,7891530
2018-07,9080347
2018-08,10403893
2018-09,11616490
2018-10,12821647
2018-11,14123556
2018-12,15497791
2019-01,1501766
2019-02,3089927
2019-03,4500114
2019-04,5968880
2019-05,7295548
2019-06,8480993
2019-07,9796785
2019-08,11309232
2019-09,12870506
2019-10,14488843
2019-11,16298423
2019-12,18008591
2020-01,1994125
2020-02,3236856
2020-03,3686779
2020-04,3686779
2020-05,3686779
2020-06,3686779
2020-07,3686779
2020-08,3686779
2020-09,3686779
2020-10,3686779
2020-11,3686779
2020-12,3686779
