Month,flights_to
2008-01,75
2008-02,62
2008-03,57
2008-04,58
2008-05,61
2008-06,59
2008-07,62
2008-08,56
2008-09,52
2008-10,45
2008-11,40
2008-12,37
2009-01,59
2009-02,50
2009-03,51
2009-04,52
2009-05,57
2009-06,57
2009-07,62
2009-08,56
2009-09,51
2009-10,48
2009-11,47
2009-12,41
2010-01,62
2010-02,55
2010-03,55
2010-04,54
2010-05,50
2010-06,53
2010-07,55
2010-08,50
2010-09,47
2010-10,43
2010-11,39
2010-12,37
2011-01,57
2011-02,49
2011-03,46
2011-04,42
2011-05,46
2011-06,50
2011-07,48
2011-08,45
2011-09,41
2011-10,38
2011-11,34
2011-12,32
2012-01,50
2012-02,45
2012-03,42
2012-04,42
2012-05,40
2012-06,46
2012-07,48
2012-08,44
2012-09,46
2012-10,41
2012-11,36
2012-12,33
2013-01,52
2013-02,44
2013-03,48
2013-04,45
2013-05,45
2013-06,50
2013-07,50
2013-08,46
2013-09,43
2013-10,42
2013-11,37
2013-12,37
2014-01,52
2014-02,50
2014-03,45
2014-04,47
2014-05,44
2014-06,49
2014-07,53
2014-08,48
2014-09,44
2014-10,42
2014-11,39
2014-12,40
2015-01,56
2015-02,50
2015-03,56
2015-04,49
2015-05,49
2015-06,52
2015-07,59
2015-08,54
2015-09,53
2015-10,49
2015-11,46
2015-12,45
2016-01,63
2016-02,56
2016-03,54
2016-04,55
2016-05,57
2016-06,58
2016-07,63
2016-08,55
2016-09,56
2016-10,55
2016-11,50
2016-12,51
2017-01,72
2017-02,65
2017-03,67
2017-04,66
2017-05,63
2017-06,67
2017-07,73
2017-08,65
2017-09,66
2017-10,62
2017-11,60
2017-12,58
2018-01,77
2018-02,69
2018-03,70
2018-04,64
2018-05,65
2018-06,69
2018-07,74
2018-08,73
2018-09,68
2018-10,63
2018-11,66
2018-12,64
2019-01,84
2019-02,76
2019-03,80
2019-04,75
2019-05,74
2019-06,81
2019-07,82
2019-08,76
2019-09,81
2019-10,78
2019-11,78
2019-12,87
2020-01,100
2020-02,84
2020-03,80
2020-04,31
2020-05,37
2020-06,48
2020-07,46
2020-08,44
2020-09,41
2020-10,40
2020-11,36
2020-12,41
2021-01,41
2021-02,39
2021-03,49
2021-04,49
2021-05,53
2021-06,54
2021-07,60
2021-08,53
2021-09,54
2021-10,56
2021-11,56
2021-12,53
2022-01,57
2022-02,65
2022-03,68
2022-04,67
2022-05,68
2022-06,76
2022-07,69
2022-08,66
2022-09,64
2022-10,59
2022-11,57
2022-12,57
2023-01,76
2023-02,67
2023-03,65
2023-04,63
2023-05,65
2023-06,63
2023-07,69
2023-08,62
2023-09,57
2023-10,55
2023-11,52
2023-12,56
