Month,hand_luggage
2008-01,18
2008-02,17
2008-03,18
2008-04,19
2008-05,20
2008-06,23
2008-07,26
2008-08,26
2008-09,19
2008-10,14
2008-11,12
2008-12,11
2009-01,13
2009-02,13
2009-03,15
2009-04,15
2009-05,20
2009-06,23
2009-07,27
2009-08,26
2009-09,21
2009-10,17
2009-11,16
2009-12,16
2010-01,19
2010-02,20
2010-03,21
2010-04,20
2010-05,24
2010-06,30
2010-07,32
2010-08,31
2010-09,27
2010-10,23
2010-11,18
2010-12,17
2011-01,22
2011-02,20
2011-03,21
2011-04,26
2011-05,28
2011-06,34
2011-07,40
2011-08,38
2011-09,27
2011-10,22
2011-11,19
2011-12,18
2012-01,19
2012-02,22
2012-03,20
2012-04,29
2012-05,35
2012-06,42
2012-07,43
2012-08,41
2012-09,36
2012-10,25
2012-11,19
2012-12,20
2013-01,24
2013-02,24
2013-03,32
2013-04,35
2013-05,43
2013-06,43
2013-07,45
2013-08,43
2013-09,41
2013-10,30
2013-11,20
2013-12,22
2014-01,25
2014-02,30
2014-03,29
2014-04,37
2014-05,42
2014-06,49
2014-07,48
2014-08,47
2014-09,42
2014-10,30
2014-11,24
2014-12,26
2015-01,29
2015-02,31
2015-03,39
2015-04,49
2015-05,54
2015-06,60
2015-07,64
2015-08,68
2015-09,53
2015-10,41
2015-11,36
2015-12,35
2016-01,40
2016-02,43
2016-03,46
2016-04,52
2016-05,60
2016-06,75
2016-07,74
2016-08,64
2016-09,59
2016-10,47
2016-11,42
2016-12,41
2017-01,43
2017-02,47
2017-03,54
2017-04,63
2017-05,68
2017-06,75
2017-07,84
2017-08,75
2017-09,70
2017-10,55
2017-11,44
2017-12,43
2018-01,54
2018-02,49
2018-03,55
2018-04,57
2018-05,60
2018-06,69
2018-07,78
2018-08,71
2018-09,61
2018-10,51
2018-11,44
2018-12,42
2019-01,47
2019-02,47
2019-03,51
2019-04,57
2019-05,62
2019-06,70
2019-07,74
2019-08,66
2019-09,61
2019-10,50
2019-11,41
2019-12,44
2020-01,45
2020-02,45
2020-03,18
2020-04,4
2020-05,4
2020-06,9
2020-07,15
2020-08,17
2020-09,13
2020-10,10
2020-11,8
2020-12,10
2021-01,8
2021-02,7
2021-03,8
2021-04,7
2021-05,9
2021-06,10
2021-07,17
2021-08,20
2021-09,21
2021-10,21
2021-11,20
2021-12,18
2022-01,19
2022-02,25
2022-03,29
2022-04,38
2022-05,46
2022-06,55
2022-07,58
2022-08,54
2022-09,48
2022-10,38
2022-11,31
2022-12,34
2023-01,37
2023-02,37
2023-03,38
2023-04,43
2023-05,47
2023-06,53
2023-07,56
2023-08,53
2023-09,47
2023-10,39
2023-11,36
2023-12,36
