Month,international_sim
2008-01,53
2008-02,47
2008-03,49
2008-04,56
2008-05,67
2008-06,67
2008-07,66
2008-08,66
2008-09,53
2008-10,45
2008-11,49
2008-12,49
2009-01,53
2009-02,50
2009-03,53
2009-04,58
2009-05,60
2009-06,67
2009-07,65
2009-08,64
2009-09,62
2009-10,51
2009-11,55
2009-12,54
2010-01,56
2010-02,51
2010-03,60
2010-04,55
2010-05,65
2010-06,77
2010-07,73
2010-08,74
2010-09,70
2010-10,55
2010-11,53
2010-12,51
2011-01,62
2011-02,58
2011-03,63
2011-04,67
2011-05,72
2011-06,75
2011-07,69
2011-08,75
2011-09,66
2011-10,59
2011-11,60
2011-12,66
2012-01,70
2012-02,71
2012-03,74
2012-04,82
2012-05,89
2012-06,92
2012-07,92
2012-08,90
2012-09,95
2012-10,91
2012-11,72
2012-12,72
2013-01,78
2013-02,72
2013-03,85
2013-04,86
2013-05,94
2013-06,100
2013-07,95
2013-08,92
2013-09,86
2013-10,74
2013-11,65
2013-12,67
2014-01,69
2014-02,70
2014-03,77
2014-04,79
2014-05,87
2014-06,95
2014-07,93
2014-08,89
2014-09,83
2014-10,67
2014-11,64
2014-12,67
2015-01,70
2015-02,66
2015-03,71
2015-04,78
2015-05,88
2015-06,91
2015-07,88
2015-08,87
2015-09,78
2015-10,68
2015-11,61
2015-12,68
2016-01,65
2016-02,62
2016-03,67
2016-04,68
2016-05,78
2016-06,90
2016-07,81
2016-08,82
2016-09,79
2016-10,72
2016-11,63
2016-12,74
2017-01,80
2017-02,68
2017-03,73
2017-04,77
2017-05,82
2017-06,91
2017-07,88
2017-08,82
2017-09,79
2017-10,68
2017-11,71
2017-12,72
2018-01,70
2018-02,68
2018-03,79
2018-04,75
2018-05,81
2018-06,80
2018-07,88
2018-08,80
2018-09,80
2018-10,68
2018-11,66
2018-12,75
2019-01,67
2019-02,68
2019-03,74
2019-04,74
2019-05,83
2019-06,80
2019-07,86
2019-08,78
2019-09,74
2019-10,62
2019-11,68
2019-12,69
2020-01,69
2020-02,66
2020-03,40
2020-04,29
2020-05,30
2020-06,32
2020-07,36
2020-08,35
2020-09,36
2020-10,32
2020-11,35
2020-12,35
2021-01,36
2021-02,35
2021-03,34
2021-04,32
2021-05,34
2021-06,35
2021-07,41
2021-08,44
2021-09,45
2021-10,43
2021-11,45
2021-12,50
2022-01,50
2022-02,56
2022-03,60
2022-04,63
2022-05,72
2022-06,75
2022-07,77
2022-08,77
2022-09,79
2022-10,69
2022-11,65
2022-12,70
2023-01,72
2023-02,75
2023-03,74
2023-04,76
2023-05,83
2023-06,87
2023-07,86
2023-08,89
2023-09,91
2023-10,78
2023-11,67
2023-12,74
