Month,Hanoi_things_to_do,hotels_to_VietNam,Vietnam_travel_guide,Best_time_to_visit_Vietnam,Visit_Vietnam
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,43,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,31,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,31,0,0
2006-02,0,0,22,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,21,0,28
2006-06,0,0,0,0,0
2006-07,0,0,27,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,23
2006-11,0,0,18,0,16
2006-12,0,0,0,0,0
2007-01,0,15,17,0,0
2007-02,0,0,0,0,0
2007-03,0,0,15,0,20
2007-04,0,0,28,0,15
2007-05,0,0,14,0,0
2007-06,0,0,28,0,0
2007-07,0,17,17,0,0
2007-08,0,30,0,0,12
2007-09,0,0,14,0,19
2007-10,0,11,16,0,0
2007-11,0,0,0,0,15
2007-12,0,0,14,0,0
2008-01,0,16,19,0,20
2008-02,0,13,13,10,15
2008-03,0,9,11,0,13
2008-04,0,9,10,0,18
2008-05,0,0,10,0,14
2008-06,0,0,16,0,9
2008-07,0,11,14,0,13
2008-08,0,16,13,0,18
2008-09,0,8,14,0,13
2008-10,0,0,11,0,9
2008-11,0,0,14,0,13
2008-12,0,0,14,0,13
2009-01,0,14,18,0,15
2009-02,0,14,10,0,12
2009-03,0,14,11,0,16
2009-04,0,12,18,0,18
2009-05,0,10,21,0,12
2009-06,0,7,15,0,16
2009-07,0,7,15,0,16
2009-08,0,12,17,0,18
2009-09,6,12,13,0,15
2009-10,7,9,21,0,16
2009-11,0,8,21,0,14
2009-12,0,8,14,0,10
2010-01,7,8,19,0,18
2010-02,0,9,19,0,13
2010-03,7,9,18,0,17
2010-04,9,11,17,0,16
2010-05,6,11,14,0,18
2010-06,9,9,11,0,14
2010-07,5,11,14,0,12
2010-08,5,14,10,0,19
2010-09,8,12,15,0,13
2010-10,9,11,17,0,16
2010-11,10,8,15,0,15
2010-12,8,10,13,6,22
2011-01,9,16,11,0,21
2011-02,9,14,14,0,13
2011-03,9,8,11,0,15
2011-04,8,10,13,0,18
2011-05,7,12,13,0,22
2011-06,8,13,11,0,18
2011-07,14,10,11,0,20
2011-08,6,12,14,0,20
2011-09,6,11,14,0,22
2011-10,8,11,12,4,17
2011-11,9,14,15,3,21
2011-12,10,14,14,8,18
2012-01,9,14,14,5,23
2012-02,9,10,14,4,18
2012-03,10,11,12,4,19
2012-04,10,10,12,0,20
2012-05,11,10,7,3,21
2012-06,12,10,14,0,17
2012-07,12,10,15,0,21
2012-08,10,13,15,3,24
2012-09,15,12,14,5,25
2012-10,11,12,14,4,24
2012-11,13,9,14,0,21
2012-12,10,10,12,0,17
2013-01,12,15,13,5,26
2013-02,13,12,9,0,20
2013-03,13,13,10,7,24
2013-04,11,10,8,4,18
2013-05,10,10,9,0,19
2013-06,14,8,7,4,27
2013-07,14,14,9,3,27
2013-08,15,10,9,4,25
2013-09,14,13,9,3,25
2013-10,16,11,10,5,27
2013-11,14,10,8,3,27
2013-12,17,11,9,4,26
2014-01,14,15,13,4,30
2014-02,16,15,9,5,34
2014-03,17,11,9,2,23
2014-04,18,12,10,5,31
2014-05,14,15,9,3,26
2014-06,14,11,12,4,28
2014-07,18,11,8,5,32
2014-08,17,12,9,5,31
2014-09,15,12,10,4,28
2014-10,16,12,9,4,23
2014-11,17,11,10,5,30
2014-12,17,10,8,5,28
2015-01,17,15,11,5,40
2015-02,18,13,11,5,34
2015-03,20,15,8,5,36
2015-04,19,13,9,7,33
2015-05,18,12,5,5,33
2015-06,20,12,8,4,34
2015-07,23,16,8,6,39
2015-08,23,13,9,6,41
2015-09,19,17,8,5,30
2015-10,22,17,8,5,34
2015-11,22,12,7,4,34
2015-12,21,14,8,3,35
2016-01,25,17,10,9,49
2016-02,18,12,8,6,36
2016-03,27,13,8,6,39
2016-04,23,11,6,4,33
2016-05,23,12,9,7,40
2016-06,26,13,6,4,37
2016-07,27,14,6,5,35
2016-08,23,13,8,4,41
2016-09,23,14,10,5,37
2016-10,23,13,8,4,38
2016-11,29,14,11,6,41
2016-12,23,12,10,5,40
2017-01,29,15,11,9,54
2017-02,29,14,8,6,46
2017-03,29,16,10,6,44
2017-04,33,17,9,5,42
2017-05,26,15,8,5,42
2017-06,30,16,9,6,45
2017-07,31,18,12,7,50
2017-08,27,20,9,7,46
2017-09,29,17,10,8,51
2017-10,32,17,11,9,52
2017-11,31,14,12,8,57
2017-12,32,16,10,8,53
2018-01,35,22,13,11,68
2018-02,26,18,10,6,53
2018-03,33,16,10,9,60
2018-04,34,18,7,7,50
2018-05,28,15,7,7,51
2018-06,27,16,7,7,50
2018-07,33,14,11,6,50
2018-08,28,15,9,9,60
2018-09,30,15,8,9,55
2018-10,30,15,8,8,50
2018-11,30,12,6,8,51
2018-12,35,15,7,7,49
2019-01,34,19,9,10,65
2019-02,29,16,11,10,60
2019-03,34,14,9,8,58
2019-04,33,15,9,8,60
2019-05,34,15,9,9,56
2019-06,33,14,7,10,57
2019-07,35,13,10,7,55
2019-08,33,13,10,7,59
2019-09,35,18,10,8,61
2019-10,33,16,9,8,64
2019-11,37,15,11,8,65
2019-12,40,15,10,6,66
2020-01,36,18,11,11,84
2020-02,22,10,5,5,41
2020-03,9,5,3,2,22
2020-04,3,4,3,0,18
2020-05,4,5,3,2,18
2020-06,3,4,3,1,17
2020-07,4,4,3,0,16
2020-08,3,4,2,2,10
2020-09,2,3,3,1,14
2020-10,4,3,2,0,12
2020-11,2,4,3,2,13
2020-12,2,3,2,2,14
2021-01,3,6,3,2,15
2021-02,2,5,1,0,15
2021-03,3,3,2,0,15
2021-04,3,4,1,0,12
2021-05,3,4,0,0,13
2021-06,3,2,2,0,13
2021-07,3,4,3,0,12
2021-08,3,4,2,2,13
2021-09,3,4,0,2,12
2021-10,3,3,2,2,13
2021-11,2,4,2,2,15
2021-12,2,0,2,0,14
2022-01,2,9,2,4,18
2022-02,3,9,3,5,25
2022-03,4,9,4,6,35
2022-04,10,14,4,8,47
2022-05,12,13,5,8,46
2022-06,16,18,5,9,57
2022-07,21,19,6,8,68
2022-08,19,16,7,9,67
2022-09,22,14,7,10,67
2022-10,25,15,7,8,67
2022-11,25,14,7,9,72
2022-12,27,16,7,9,66
2023-01,26,21,7,14,83
2023-02,27,15,7,12,78
2023-03,26,15,6,14,81
2023-04,29,18,9,15,95
2023-05,23,17,8,14,86
2023-06,26,16,7,13,80
2023-07,26,17,6,13,79
2023-08,26,13,8,11,76
2023-09,25,14,7,13,81
2023-10,28,11,6,12,73
2023-11,27,15,7,10,75
2023-12,31,16,9,13,85
2024-01,33,21,12,18,100
2024-02,30,18,8,16,82
2024-03,33,16,7,13,82
2024-04,30,19,8,16,90
2024-05,27,19,6,16,92
2024-06,26,18,7,14,87
2024-07,29,19,9,14,82
2024-08,28,18,8,14,87
