Month,linear_increase
1/1/2008,0
1/2/2008,1
1/3/2008,2
1/4/2008,3
1/5/2008,4
1/6/2008,5
1/7/2008,6
1/8/2008,7
1/9/2008,8
1/10/2008,9
1/11/2008,10
1/12/2008,11
1/1/2009,12
1/2/2009,13
1/3/2009,14
1/4/2009,15
1/5/2009,16
1/6/2009,17
1/7/2009,18
1/8/2009,19
1/9/2009,20
1/10/2009,21
1/11/2009,22
1/12/2009,23
1/1/2010,24
1/2/2010,25
1/3/2010,26
1/4/2010,27
1/5/2010,28
1/6/2010,29
1/7/2010,30
1/8/2010,31
1/9/2010,32
1/10/2010,33
1/11/2010,34
1/12/2010,35
1/1/2011,36
1/2/2011,37
1/3/2011,38
1/4/2011,39
1/5/2011,40
1/6/2011,41
1/7/2011,42
1/8/2011,43
1/9/2011,44
1/10/2011,45
1/11/2011,46
1/12/2011,47
1/1/2012,48
1/2/2012,49
1/3/2012,50
1/4/2012,51
1/5/2012,52
1/6/2012,53
1/7/2012,54
1/8/2012,55
1/9/2012,56
1/10/2012,57
1/11/2012,58
1/12/2012,59
1/1/2013,60
1/2/2013,61
1/3/2013,62
1/4/2013,63
1/5/2013,64
1/6/2013,65
1/7/2013,66
1/8/2013,67
1/9/2013,68
1/10/2013,69
1/11/2013,70
1/12/2013,71
1/1/2014,72
1/2/2014,73
1/3/2014,74
1/4/2014,75
1/5/2014,76
1/6/2014,77
1/7/2014,78
1/8/2014,79
1/9/2014,80
1/10/2014,81
1/11/2014,82
1/12/2014,83
1/1/2015,84
1/2/2015,85
1/3/2015,86
1/4/2015,87
1/5/2015,88
1/6/2015,89
1/7/2015,90
1/8/2015,91
1/9/2015,92
1/10/2015,93
1/11/2015,94
1/12/2015,95
1/1/2016,96
1/2/2016,97
1/3/2016,98
1/4/2016,99
1/5/2016,100
1/6/2016,101
1/7/2016,102
1/8/2016,103
1/9/2016,104
1/10/2016,105
1/11/2016,106
1/12/2016,107
1/1/2017,108
1/2/2017,109
1/3/2017,110
1/4/2017,111
1/5/2017,112
1/6/2017,113
1/7/2017,114
1/8/2017,115
1/9/2017,116
1/10/2017,117
1/11/2017,118
1/12/2017,119
1/1/2018,120
1/2/2018,121
1/3/2018,122
1/4/2018,123
1/5/2018,124
1/6/2018,125
1/7/2018,126
1/8/2018,127
1/9/2018,128
1/10/2018,129
1/11/2018,130
1/12/2018,131
1/1/2019,132
1/2/2019,133
1/3/2019,134
1/4/2019,135
1/5/2019,136
1/6/2019,137
1/7/2019,138
1/8/2019,139
1/9/2019,140
1/10/2019,141
1/11/2019,142
1/12/2019,143
1/1/2020,-155
1/2/2020,-154
1/3/2020,-153
1/4/2020,-152
1/5/2020,-151
1/6/2020,-150
1/7/2020,-149
1/8/2020,-148
1/9/2020,-147
1/10/2020,-146
1/11/2020,-145
1/12/2020,-144
1/1/2021,156
1/2/2021,157
1/3/2021,158
1/4/2021,159
1/5/2021,160
1/6/2021,161
1/7/2021,162
1/8/2021,163
1/9/2021,164
1/10/2021,165
1/11/2021,166
1/12/2021,167
1/1/2022,168
1/2/2022,169
1/3/2022,170
1/4/2022,171
1/5/2022,172
1/6/2022,173
1/7/2022,174
1/8/2022,175
1/9/2022,176
1/10/2022,177
1/11/2022,178
1/12/2022,179
1/1/2023,180
1/2/2023,181
1/3/2023,182
1/4/2023,183
1/5/2023,184
1/6/2023,185
1/7/2023,186
1/8/2023,187
1/9/2023,188
1/10/2023,189
1/11/2023,190
1/12/2023,191
