month,negative,neutral,positive
2008-01,0,1,8
2008-02,1,0,6
2008-03,1,1,2
2008-04,2,2,7
2008-05,2,0,5
2008-06,2,0,3
2008-07,1,1,4
2008-08,4,1,4
2008-09,2,2,3
2008-10,2,0,6
2008-11,2,2,4
2008-12,0,0,3
2009-01,1,2,4
2009-02,2,2,5
2009-03,1,2,8
2009-04,5,1,8
2009-05,2,4,11
2009-06,1,1,5
2009-07,3,2,9
2009-08,7,5,12
2009-09,4,3,10
2009-10,1,5,14
2009-11,7,7,17
2009-12,2,5,9
2010-01,3,8,12
2010-02,4,2,10
2010-03,7,6,18
2010-04,3,6,22
2010-05,4,4,13
2010-06,4,3,12
2010-07,10,5,23
2010-08,7,7,19
2010-09,8,4,18
2010-10,1,2,15
2010-11,9,0,17
2010-12,5,3,23
2011-01,14,9,24
2011-02,8,12,21
2011-03,14,8,33
2011-04,6,11,40
2011-05,11,11,34
2011-06,9,8,41
2011-07,11,8,51
2011-08,14,11,45
2011-09,11,11,53
2011-10,13,8,36
2011-11,6,11,49
2011-12,8,11,49
2012-01,27,22,64
2012-02,21,14,65
2012-03,18,16,69
2012-04,20,13,68
2012-05,19,16,70
2012-06,14,15,62
2012-07,19,16,90
2012-08,38,26,65
2012-09,17,21,73
2012-10,15,12,73
2012-11,18,16,69
2012-12,23,17,77
2013-01,35,17,117
2013-02,21,21,99
2013-03,44,34,115
2013-04,44,22,133
2013-05,53,22,105
2013-06,15,12,106
2013-07,28,21,103
2013-08,38,32,145
2013-09,19,31,106
2013-10,24,19,108
2013-11,35,26,108
2013-12,39,30,136
2014-01,48,38,194
2014-02,38,35,130
2014-03,50,40,165
2014-04,39,42,185
2014-05,59,51,180
2014-06,27,38,137
2014-07,27,36,153
2014-08,48,53,209
2014-09,42,47,156
2014-10,38,46,169
2014-11,56,58,217
2014-12,56,46,177
2015-01,72,79,271
2015-02,69,52,227
2015-03,64,83,240
2015-04,79,68,258
2015-05,70,76,240
2015-06,61,56,189
2015-07,63,67,244
2015-08,99,103,228
2015-09,60,60,210
2015-10,56,58,216
2015-11,56,87,262
2015-12,70,89,280
2016-01,101,128,379
2016-02,79,88,289
2016-03,121,105,347
2016-04,72,87,311
2016-05,66,119,274
2016-06,50,86,241
2016-07,84,103,312
2016-08,143,147,401
2016-09,56,125,314
2016-10,65,88,266
2016-11,96,108,361
2016-12,105,145,389
2017-01,145,148,496
2017-02,117,170,401
2017-03,156,182,441
2017-04,142,177,468
2017-05,80,170,314
2017-06,77,155,318
2017-07,92,173,367
2017-08,162,218,398
2017-09,77,147,306
2017-10,95,178,339
2017-11,127,188,354
2017-12,131,198,335
2018-01,191,273,431
2018-02,162,216,307
2018-03,217,288,364
2018-04,170,284,348
2018-05,139,318,334
2018-06,121,313,248
2018-07,181,393,279
2018-08,238,476,531
2018-09,130,291,470
2018-10,184,414,533
2018-11,157,319,461
2018-12,181,230,459
2019-01,209,325,510
2019-02,172,305,420
2019-03,206,368,535
2019-04,201,373,554
2019-05,204,429,487
2019-06,147,429,402
2019-07,167,379,398
2019-08,181,368,449
2019-09,183,403,353
2019-10,199,540,482
2019-11,261,618,516
2019-12,240,578,542
2020-01,220,397,551
2020-02,176,335,427
2020-03,84,187,307
2020-04,15,33,63
2020-05,21,47,79
2020-06,35,66,139
2020-07,46,121,164
2020-08,50,123,130
2020-09,37,83,90
2020-10,37,123,107
2020-11,63,151,100
2020-12,29,77,132
2021-01,34,83,119
2021-02,41,76,143
2021-03,50,136,135
2021-04,43,129,173
2021-05,47,144,132
2021-06,16,53,52
2021-07,13,25,33
2021-08,10,11,15
2021-09,7,21,23
2021-10,14,44,24
2021-11,51,153,82
2021-12,52,153,108
2022-01,60,146,106
2022-02,57,164,128
2022-03,56,134,114
2022-04,78,155,152
2022-05,102,236,239
2022-06,76,251,241
2022-07,116,332,340
2022-08,120,350,428
2022-09,72,317,301
2022-10,32,78,114
