Month, Passengers
1980-01, 739
1980-02, 602
1980-03, 740
1980-04, 1028
1980-05, 1088
1980-06, 1124
1980-07, 1699
1980-08, 1839
1980-09, 1200
1980-10, 963
1980-11, 755
1980-12, 642
1981-01, 695
1981-02, 540
1981-03, 685
1981-04, 962
1981-05, 1007
1981-06, 1039
1981-07, 1430
1981-08, 1650
1981-09, 1181
1981-10, 954
1981-11, 689
1981-12, 619
1982-01, 789
1982-02, 578
1982-03, 646
1982-04, 1071
1982-05, 1034
1982-06, 1069
1982-07, 1471
1982-08, 1629
1982-09, 1155
1982-10, 943
1982-11, 661
1982-12, 592
1983-01, 723
1983-02, 550
1983-03, 740
1983-04, 1023
1983-05, 988
1983-06, 1189
1983-07, 1697
1983-08, 1748
1983-09, 1269
1983-10, 1051
1983-11, 796
1983-12, 690
1984-01, 745
1984-02, 580
1984-03, 828
1984-04, 1170
1984-05, 1096
1984-06, 1316
1984-07, 1763
1984-08, 2011
1984-09, 1406
1984-10, 1093
1984-11, 882
1984-12, 752
1985-01, 817
1985-02, 652
1985-03, 867
1985-04, 1208
1985-05, 1282
1985-06, 1468
1985-07, 1819
1985-08, 2139
1985-09, 1447
1985-10, 1140
1985-11, 802
1985-12, 809
1986-01, 926
1986-02, 732
1986-03, 921
1986-04, 1028
1986-05, 1125
1986-06, 1167
1986-07, 1680
1986-08, 2048
1986-09, 1337
1986-10, 1195
1986-11, 910
1986-12, 828
1987-01, 1038
1987-02, 678
1987-03, 925
1987-04, 1315
1987-05, 1305
1987-06, 1427
1987-07, 1883
1987-08, 2228
1987-09, 1507
1987-10, 1348
1987-11, 948
1987-12, 963
1988-01, 1021
1988-02, 792
1988-03, 964
1988-04, 1324
1988-05, 1191
1988-06, 1498
1988-07, 1930
1988-08, 2084
1988-09, 1535
1988-10, 1366
1988-11, 1073
1988-12, 1021
1989-01, 1132
1989-02, 869
1989-03, 1336
1989-04, 1302
1989-05, 1388
1989-06, 1575
1989-07, 2071
1989-08, 2257
1989-09, 1633
1989-10, 1448
1989-11, 1183
1989-12, 1145
1990-01, 1184
1990-02, 968
1990-03, 1171
1990-04, 1411
1990-05, 1482
1990-06, 1644
1990-07, 2206
1990-08, 2309
1990-09, 1791
1990-10, 1524
1990-11, 1204
1990-12, 1123
1991-01, 1015
1991-02, 786
1991-03, 1035
1991-04, 1321
1991-05, 1474
1991-06, 1502
1991-07, 2007
1991-08, 2281
1991-09, 1724
1991-10, 1484
1991-11, 1299
1991-12, 1197
1992-01, 1200
1992-02, 966
1992-03, 1179
1992-04, 1648
