Month,Passengers,Search
2008-01,399556,7000000
2008-02,810588,7300000
2008-03,1224920,7100000
2008-04,1620820,7200000
2008-05,1987207,7300000
2008-06,2340152,7600000
2008-07,2670152,8300000
2008-08,3009152,7500000
2008-09,3295541,6400000
2008-10,3592283,6200000
2008-11,3872187,6100000
2008-12,4230235,6100000
2009-01,370000,6700000
2009-02,712913,6700000
2009-03,1016402,6400000
2009-04,1321832,6600000
2009-05,1614675,6900000
2009-06,1893822,7000000
2009-07,2165244,7500000
2009-08,2480159,7000000
2009-09,2784578,6400000
2009-10,3012437,6000000
2009-11,3400308,5900000
2009-12,3776708,5800000
2010-01,416249,6500000
2010-02,862572,6400000
2010-03,1336081,5900000
2010-04,1768689,6400000
2010-05,2119671,6400000
2010-06,2495378,6600000
2010-07,2905378,7100000
2010-08,3333313,6900000
2010-09,3716776,5900000
2010-10,4156847,6000000
2010-11,4585142,5600000
2010-12,5034712,5400000
2011-01,506424,6200000
2011-02,1035739,5900000
2011-03,1511472,5800000
2011-04,1971472,6000000
2011-05,2452358,6200000
2011-06,2899324,6600000
2011-07,3359324,7100000
2011-08,3911558,6600000
2011-09,4198176,6200000
2011-10,4716653,5900000
2011-11,5328517,5400000
2011-12,5921925,5300000
2012-01,630000,6000000
2012-02,1311849,5700000
2012-03,1873726,5800000
2012-04,2493726,5900000
2012-05,3109249,5900000
2012-06,3526678,6600000
2012-07,3992678,7000000
2012-08,4517970,6700000
2012-09,4978208,5900000
2012-10,5473784,5500000
2012-11,6129485,4900000
2012-12,6744158,5400000
2013-01,651812,5500000
2013-02,1222288,5400000
2013-03,1809654,5600000
2013-04,2423573,5700000
2013-05,2982324,5500000
2013-06,3549615,6300000
2013-07,4207940,6600000
2013-08,4884659,6500000
2013-09,5499486,5800000
2013-10,6128181,5400000
2013-11,6859215,5200000
2013-12,7581564,5400000
2014-01,776174,6000000
2014-02,1618200,5700000
2014-03,2327925,5600000
2014-04,3073905,5900000
2014-05,3748109,6100000
2014-06,4287885,6300000
2014-07,4852621,6900000
2014-08,5471209,6600000
2014-09,6062090,6000000
2014-10,6621092,5400000
2014-11,7229709,5300000
2014-12,7887013,5300000
2015-01,700692,5900000
2015-02,1456692,5600000
2015-03,2074587,6000000
2015-04,2765027,6100000
2015-05,3341895,6200000
2015-06,3871340,6600000
2015-07,4464906,6900000
2015-08,5129891,6900000
2015-09,5756215,5900000
2015-10,6405314,5900000
2015-11,7138054,5500000
2015-12,7898852,5500000
2016-01,815200,5900000
2016-02,1658926,5600000
2016-03,2489534,6000000
2016-04,3289146,6100000
2016-05,4056519,6000000
2016-06,4767093,6500000
2016-07,5623531,7300000
2016-08,6533397,6900000
2016-09,7356532,6000000
2016-10,8178677,5900000
2016-11,9115456,5600000
2016-12,10012735,5600000
2017-01,1007238,6300000
2017-02,2206659,6100000
2017-03,3212480,6100000
2017-04,4284130,6500000
2017-05,5256974,6200000
2017-06,6206336,7000000
2017-07,7243216,7600000
2017-08,8472379,7200000
2017-09,9448331,6800000
2017-10,10473230,6300000
2017-11,11645798,5800000
2017-12,12922151,6000000
2018-01,1430242,6400000
2018-02,2862087,6200000
2018-03,4205401,6600000
2018-04,5547314,6400000
2018-05,6708428,6600000
2018-06,7891530,6900000
2018-07,9080347,7600000
2018-08,10403893,7200000
2018-09,11616490,6500000
2018-10,12821647,6200000
2018-11,14123556,6200000
2018-12,15497791,6000000
2019-01,1501766,6500000
2019-02,3089927,6300000
2019-03,4500114,6700000
2019-04,5968880,6700000
2019-05,7295548,6600000
2019-06,8480993,7200000
2019-07,9796785,8200000
2019-08,11309232,7600000
2019-09,12870506,6200000
2019-10,14488843,6500000
2019-11,16298423,6000000
2019-12,18008591,6500000
2020-01,1994125,7000000
2020-02,3236856,6500000
2020-03,3686779,4700000
2020-04,3686779,3500000
2020-05,3686779,4000000
2020-06,3686779,5500000
2020-07,3686779,5600000
2020-08,3686779,5500000
2020-09,3686779,4800000
2020-10,3686779,4700000
2020-11,3686779,4100000
2020-12,3686779,4300000
2021-01,0,4400000
2021-02,0,4500000
2021-03,0,4600000
2021-04,0,4900000
2021-05,0,5000000
2021-06,0,5900000
2021-07,0,6300000
2021-08,0,6100000
2021-09,0,5600000
2021-10,0,5500000
2021-11,400,5300000
2021-12,3500,5000000
2022-01,19727,5000000
2022-02,49244,5300000
2022-03,90984,5600000
2022-04,192357,6000000
2022-05,365305,6000000
2022-06,601982,6300000
2022-07,954561,6600000
2022-08,1440968,6300000
2022-09,1872877,5700000
2022-10,2357232,5600000
2022-11,2954151,5600000
2022-12,3661222,5600000
2023-01,871162,5900000
2023-02,1804131,5700000
2023-03,2699556,5400000
2023-04,3683702,5800000
2023-05,4599959,6000000
2023-06,5574969,6200000
2023-07,6613532,7100000
2023-08,7830953,6600000
2023-09,8885402,6300000
2023-10,9997928,5700000
2023-11,11231299,5600000
2023-12,12602434,5600000
