Month,Passengers,Search
2008-01,399556,240000
2008-02,810588,150000
2008-03,1224920,270000
2008-04,1620820,290000
2008-05,1987207,280000
2008-06,2340152,220000
2008-07,2670152,190000
2008-08,3009152,160000
2008-09,3295541,230000
2008-10,3592283,240000
2008-11,3872187,220000
2008-12,4230235,270000
2009-01,370000,110000
2009-02,712913,240000
2009-03,1016402,290000
2009-04,1321832,310000
2009-05,1614675,270000
2009-06,1893822,230000
2009-07,2165244,140000
2009-08,2480159,190000
2009-09,2784578,230000
2009-10,3012437,280000
2009-11,3400308,220000
2009-12,3776708,210000
2010-01,416249,170000
2010-02,862572,90000
2010-03,1336081,250000
2010-04,1768689,260000
2010-05,2119671,260000
2010-06,2495378,200000
2010-07,2905378,170000
2010-08,3333313,170000
2010-09,3716776,160000
2010-10,4156847,240000
2010-11,4585142,220000
2010-12,5034712,210000
2011-01,506424,170000
2011-02,1035739,160000
2011-03,1511472,240000
2011-04,1971472,300000
2011-05,2452358,300000
2011-06,2899324,260000
2011-07,3359324,220000
2011-08,3911558,200000
2011-09,4198176,240000
2011-10,4716653,270000
2011-11,5328517,290000
2011-12,5921925,260000
2012-01,630000,130000
2012-02,1311849,270000
2012-03,1873726,290000
2012-04,2493726,310000
2012-05,3109249,300000
2012-06,3526678,250000
2012-07,3992678,220000
2012-08,4517970,230000
2012-09,4978208,250000
2012-10,5473784,280000
2012-11,6129485,270000
2012-12,6744158,270000
2013-01,651812,260000
2013-02,1222288,190000
2013-03,1809654,350000
2013-04,2423573,350000
2013-05,2982324,350000
2013-06,3549615,280000
2013-07,4207940,240000
2013-08,4884659,250000
2013-09,5499486,260000
2013-10,6128181,310000
2013-11,6859215,280000
2013-12,7581564,260000
2014-01,776174,190000
2014-02,1618200,280000
2014-03,2327925,320000
2014-04,3073905,390000
2014-05,3748109,310000
2014-06,4287885,300000
2014-07,4852621,240000
2014-08,5471209,260000
2014-09,6062090,300000
2014-10,6621092,330000
2014-11,7229709,320000
2014-12,7887013,290000
2015-01,700692,240000
2015-02,1456692,190000
2015-03,2074587,370000
2015-04,2765027,390000
2015-05,3341895,340000
2015-06,3871340,320000
2015-07,4464906,330000
2015-08,5129891,320000
2015-09,5756215,310000
2015-10,6405314,350000
2015-11,7138054,320000
2015-12,7898852,340000
2016-01,815200,220000
2016-02,1658926,250000
2016-03,2489534,380000
2016-04,3289146,350000
2016-05,4056519,330000
2016-06,4767093,350000
2016-07,5623531,330000
2016-08,6533397,310000
2016-09,7356532,340000
2016-10,8178677,340000
2016-11,9115456,320000
2016-12,10012735,320000
2017-01,1007238,220000
2017-02,2206659,400000
2017-03,3212480,480000
2017-04,4284130,460000
2017-05,5256974,330000
2017-06,6206336,300000
2017-07,7243216,290000
2017-08,8472379,240000
2017-09,9448331,290000
2017-10,10473230,300000
2017-11,11645798,310000
2017-12,12922151,330000
2018-01,1430242,320000
2018-02,2862087,220000
2018-03,4205401,430000
2018-04,5547314,450000
2018-05,6708428,370000
2018-06,7891530,350000
2018-07,9080347,330000
2018-08,10403893,320000
2018-09,11616490,330000
2018-10,12821647,330000
2018-11,14123556,350000
2018-12,15497791,340000
2019-01,1501766,300000
2019-02,3089927,300000
2019-03,4500114,450000
2019-04,5968880,450000
2019-05,7295548,350000
2019-06,8480993,370000
2019-07,9796785,360000
2019-08,11309232,360000
2019-09,12870506,410000
2019-10,14488843,420000
2019-11,16298423,390000
2019-12,18008591,370000
2020-01,1994125,260000
2020-02,3236856,330000
2020-03,3686779,320000
2020-04,3686779,390000
2020-05,3686779,470000
2020-06,3686779,490000
2020-07,3686779,450000
2020-08,3686779,250000
2020-09,3686779,280000
2020-10,3686779,320000
2020-11,3686779,400000
2020-12,3686779,360000
2021-01,0,280000
2021-02,0,220000
2021-03,0,420000
2021-04,0,490000
2021-05,0,470000
2021-06,0,390000
2021-07,0,300000
2021-08,0,250000
2021-09,0,360000
2021-10,0,520000
2021-11,400,580000
2021-12,3500,600000
2022-01,19727,500000
2022-02,49244,570000
2022-03,90984,1000000
2022-04,192357,940000
2022-05,365305,820000
2022-06,601982,620000
2022-07,954561,550000
2022-08,1440968,440000
2022-09,1872877,500000
2022-10,2357232,610000
2022-11,2954151,640000
2022-12,3661222,630000
2023-01,871162,350000
2023-02,1804131,690000
2023-03,2699556,770000
2023-04,3683702,870000
2023-05,4599959,780000
2023-06,5574969,640000
2023-07,6613532,490000
2023-08,7830953,430000
2023-09,8885402,660000
2023-10,9997928,650000
2023-11,11231299,630000
2023-12,12602434,700000
