Month,walking_tour
2008-01,20
2008-02,22
2008-03,26
2008-04,27
2008-05,29
2008-06,30
2008-07,32
2008-08,29
2008-09,23
2008-10,22
2008-11,18
2008-12,17
2009-01,19
2009-02,21
2009-03,27
2009-04,28
2009-05,32
2009-06,31
2009-07,33
2009-08,31
2009-09,26
2009-10,24
2009-11,22
2009-12,16
2010-01,19
2010-02,20
2010-03,27
2010-04,28
2010-05,30
2010-06,29
2010-07,33
2010-08,32
2010-09,27
2010-10,26
2010-11,21
2010-12,17
2011-01,20
2011-02,22
2011-03,25
2011-04,29
2011-05,28
2011-06,30
2011-07,33
2011-08,28
2011-09,26
2011-10,26
2011-11,22
2011-12,21
2012-01,23
2012-02,24
2012-03,27
2012-04,33
2012-05,30
2012-06,35
2012-07,35
2012-08,32
2012-09,31
2012-10,27
2012-11,23
2012-12,22
2013-01,23
2013-02,26
2013-03,31
2013-04,34
2013-05,31
2013-06,36
2013-07,41
2013-08,42
2013-09,32
2013-10,34
2013-11,27
2013-12,25
2014-01,26
2014-02,29
2014-03,38
2014-04,44
2014-05,42
2014-06,44
2014-07,50
2014-08,47
2014-09,44
2014-10,44
2014-11,32
2014-12,32
2015-01,33
2015-02,34
2015-03,45
2015-04,50
2015-05,50
2015-06,54
2015-07,59
2015-08,59
2015-09,52
2015-10,47
2015-11,39
2015-12,39
2016-01,40
2016-02,47
2016-03,54
2016-04,54
2016-05,63
2016-06,62
2016-07,70
2016-08,62
2016-09,62
2016-10,61
2016-11,49
2016-12,47
2017-01,47
2017-02,52
2017-03,61
2017-04,71
2017-05,65
2017-06,73
2017-07,83
2017-08,78
2017-09,72
2017-10,68
2017-11,58
2017-12,57
2018-01,58
2018-02,61
2018-03,75
2018-04,76
2018-05,80
2018-06,87
2018-07,94
2018-08,92
2018-09,82
2018-10,79
2018-11,62
2018-12,60
2019-01,63
2019-02,64
2019-03,80
2019-04,82
2019-05,86
2019-06,91
2019-07,99
2019-08,100
2019-09,94
2019-10,81
2019-11,67
2019-12,66
2020-01,62
2020-02,62
2020-03,29
2020-04,11
2020-05,13
2020-06,16
2020-07,23
2020-08,30
2020-09,27
2020-10,21
2020-11,13
2020-12,12
2021-01,12
2021-02,13
2021-03,15
2021-04,19
2021-05,20
2021-06,29
2021-07,37
2021-08,41
2021-09,39
2021-10,42
2021-11,33
2021-12,26
2022-01,30
2022-02,40
2022-03,47
2022-04,61
2022-05,62
2022-06,65
2022-07,72
2022-08,70
2022-09,67
2022-10,63
2022-11,48
2022-12,43
2023-01,52
2023-02,58
2023-03,60
2023-04,72
2023-05,72
2023-06,75
2023-07,79
2023-08,76
2023-09,73
2023-10,67
2023-11,52
2023-12,49
